Person,Certified,Taught
1286,2014-05-04,2014-02-22
1292,2013-12-05,2014-06-16
1325,2015-03-25,2015-06-25
1325,2015-03-25,2015-07-22
1325,2015-03-25,2015-08-26
1325,2015-03-25,2016-01-18
1359,2014-05-09,2014-06-24
1359,2014-05-09,2014-08-11
1359,2014-05-09,2014-09-24
1359,2014-05-09,2014-11-07
1359,2014-05-09,2015-03-06
1359,2014-05-09,2015-04-01
1359,2014-05-09,2015-05-12
1359,2014-05-09,2015-06-22
1359,2014-05-09,2015-06-25
1359,2014-05-09,2015-10-12
1428,2014-09-18,2015-06-02
1445,2014-07-22,2013-07-01
1445,2014-07-22,2014-03-17
1481,2012-12-20,2012-05-22
1481,2012-12-20,2013-01-30
1481,2012-12-20,2013-05-06
1481,2012-12-20,2013-06-24
1481,2012-12-20,2013-09-05
1481,2012-12-20,2014-01-08
1481,2012-12-20,2014-06-24
1481,2012-12-20,2015-08-24
1481,2012-12-20,2016-02-22
1486,2012-12-20,2012-05-14
1524,2015-01-07,2015-04-09
1553,2014-05-04,2014-04-03
1553,2014-05-04,2014-06-10
1553,2014-05-04,2014-06-15
1553,2014-05-04,2014-11-12
1553,2014-05-04,2015-06-15
1553,2014-05-04,2015-11-04
1585,2015-05-26,2014-09-29
1585,2015-05-26,2015-04-02
1585,2015-05-26,2015-09-23
1585,2015-05-26,2016-03-23
1637,2014-05-04,2015-05-19
1649,2014-11-22,2014-04-14
1649,2014-11-22,2014-11-06
1649,2014-11-22,2015-01-10
1649,2014-11-22,2015-05-12
1649,2014-11-22,2016-02-22
1649,2014-11-22,2016-03-14
1658,2015-02-28,2015-04-08
1678,2014-12-08,2015-03-24
1678,2014-12-08,2015-05-19
1678,2014-12-08,2015-08-19
1678,2014-12-08,2015-12-10
1685,2013-07-24,2012-07-10
1685,2013-07-24,2013-05-02
1685,2013-07-24,2013-05-06
1685,2013-07-24,2014-02-18
1685,2013-07-24,2014-02-28
1687,2014-11-17,2013-04-04
1687,2014-11-17,2013-05-16
1687,2014-11-17,2013-07-08
1687,2014-11-17,2013-08-22
1687,2014-11-17,2014-05-08
1687,2014-11-17,2014-06-16
1687,2014-11-17,2015-01-29
1687,2014-11-17,2016-04-11
1701,2012-12-20,2012-02-20
1701,2012-12-20,2012-05-14
1701,2012-12-20,2012-10-30
1701,2012-12-20,2013-01-22
1701,2012-12-20,2013-01-25
1701,2012-12-20,2013-03-07
1701,2012-12-20,2015-09-17
1701,2012-12-20,2015-12-07
1701,2012-12-20,2015-12-15
1701,2012-12-20,2016-05-04
1757,2015-05-05,2015-07-24
1757,2015-05-05,2015-10-19
1798,2015-02-27,2015-03-10
1798,2015-02-27,2015-04-08
1798,2015-02-27,2015-05-27
1798,2015-02-27,2015-10-07
1798,2015-02-27,2015-11-11
1804,2013-11-25,2013-06-17
1804,2013-11-25,2013-09-19
1804,2013-11-25,2014-07-08
1804,2013-11-25,2014-09-18
1804,2013-11-25,2015-01-15
1804,2013-11-25,2015-06-22
1804,2013-11-25,2015-09-15
1806,2014-11-22,2014-02-03
1806,2014-11-22,2016-03-08
1827,2012-12-20,2012-02-23
1827,2012-12-20,2012-06-18
1827,2012-12-20,2012-10-17
1827,2012-12-20,2012-10-20
1827,2012-12-20,2012-10-23
1827,2012-12-20,2013-02-25
1827,2012-12-20,2013-05-09
1827,2012-12-20,2013-05-13
1827,2012-12-20,2013-06-25
